,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
68,RT @Uverse: Say <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> to the #RealHusbandsOfHollywood. Don't miss the men on tonight's premiere at 9/8c on @BET. https://t.co/ewxYs4Bnpm,FALSE,0,NA,10/11/2016 21:00,FALSE,NA,7.85948E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BET,2,TRUE,FALSE,NA,NA
69,@Uverse 62 minutes and finally someone answered. #customerexperience #customerservice,FALSE,0,Uverse,10/11/2016 16:13,FALSE,NA,7.85876E+17,398037232,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Myller_Tyme,0,FALSE,FALSE,NA,NA
70,@Uverse Is there anyway to get tech support?? I've been on hold for almost 30 minutes with no end in sight.,FALSE,0,Uverse,10/11/2016 16:08,FALSE,NA,7.85875E+17,398037232,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DocDHixon,0,FALSE,FALSE,NA,NA
71,@Uverse Minute 55. What the hell? #customerexperience #customerservice,FALSE,0,Uverse,10/11/2016 16:05,FALSE,NA,7.85874E+17,398037232,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Myller_Tyme,0,FALSE,FALSE,NA,NA
72,@Uverse Minute 45. This is now an experiment. I will be tweeting every 10 minutes until I'm off hold. #customerexperience #customerservice,FALSE,0,Uverse,10/11/2016 15:55,FALSE,NA,7.85872E+17,398037232,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Myller_Tyme,0,FALSE,FALSE,NA,NA
73,@Uverse Been on hold with your customer service for 35 minutes and counting trying to fix something that was your mistake.,FALSE,0,Uverse,10/11/2016 15:45,FALSE,NA,7.85869E+17,398037232,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Myller_Tyme,0,FALSE,FALSE,NA,NA
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,AT&T Proprietary Information,,,,,,,,,,,,,,,
